iter	Passed	Remaining
0	154	154827
1	157	78651
2	160	53223
3	168	41996
4	172	34328
5	175	29123
6	179	25489
7	182	22606
8	184	20354
9	189	18787
10	193	17367
11	195	16093
12	197	15013
13	199	14045
14	202	13279
15	204	12583
16	206	11921
17	207	11335
18	209	10842
19	211	10365
20	213	9943
21	216	9614
22	218	9263
23	219	8932
24	223	8732
25	225	8455
26	230	8294
27	233	8096
28	235	7879
29	237	7665
30	238	7460
31	240	7271
32	243	7148
33	246	7003
34	248	6856
35	250	6706
36	252	6564
37	256	6490
38	261	6437
39	263	6322
40	265	6199
41	268	6117
42	271	6045
43	273	5941
44	275	5843
45	277	5753
46	283	5740
47	286	5674
48	287	5583
49	289	5505
50	291	5423
51	294	5367
52	298	5324
53	299	5254
54	301	5183
55	303	5110
56	304	5037
57	306	4974
58	310	4947
59	314	4923
60	315	4861
61	317	4801
62	319	4745
63	320	4690
64	324	4670
65	326	4623
66	328	4569
67	329	4515
68	330	4465
69	332	4416
70	334	4373
71	337	4351
72	339	4315
73	342	4280
74	343	4241
75	345	4202
76	347	4162
77	348	4124
78	351	4100
79	353	4069
80	355	4033
81	357	4002
82	358	3963
83	360	3929
84	362	3897
85	366	3896
86	368	3868
87	370	3836
88	371	3803
89	372	3770
90	374	3737
91	375	3707
92	378	3693
93	382	3682
94	383	3657
95	385	3630
96	386	3601
97	388	3573
98	389	3548
99	393	3538
100	395	3521
101	397	3496
102	398	3469
103	399	3443
104	401	3418
105	403	3401
106	406	3390
107	408	3373
108	410	3352
109	411	3329
110	412	3307
111	414	3285
112	415	3263
113	416	3240
114	418	3224
115	421	3210
116	422	3188
117	423	3168
118	425	3149
119	427	3134
120	429	3118
121	430	3098
122	432	3081
123	435	3078
124	438	3068
125	440	3052
126	441	3035
127	443	3020
128	445	3009
129	448	3001
130	450	2990
131	452	2978
132	456	2972
133	457	2959
134	460	2949
135	463	2946
136	465	2935
137	467	2921
138	469	2906
139	470	2891
140	471	2874
141	472	2857
142	475	2849
143	479	2849
144	481	2836
145	482	2825
146	484	2813
147	486	2800
148	487	2786
149	490	2780
150	492	2771
151	494	2760
152	496	2748
153	497	2734
154	499	2720
155	500	2707
156	503	2701
157	510	2720
158	512	2709
159	513	2697
160	515	2686
161	518	2681
162	521	2676
163	523	2666
164	524	2655
165	526	2644
166	527	2631
167	529	2620
168	533	2622
169	536	2621
170	538	2611
171	541	2605
172	543	2600
173	546	2596
174	549	2590
175	551	2582
176	553	2574
177	555	2565
178	562	2579
179	567	2586
180	569	2578
181	571	2568
182	574	2566
183	578	2566
184	580	2556
185	581	2546
186	583	2536
187	585	2526
188	590	2534
189	593	2528
190	594	2520
191	596	2508
192	597	2498
193	599	2488
194	600	2479
195	604	2478
196	606	2470
197	608	2463
198	609	2453
199	610	2442
200	611	2432
201	613	2423
202	614	2413
203	618	2413
204	620	2405
205	621	2397
206	623	2387
207	624	2378
208	625	2368
209	626	2358
210	628	2350
211	630	2343
212	632	2335
213	633	2326
214	634	2317
215	636	2308
216	637	2299
217	638	2290
218	639	2282
219	641	2273
220	643	2267
221	645	2261
222	647	2254
223	648	2246
224	649	2238
225	651	2230
226	652	2221
227	653	2213
228	655	2205
229	656	2198
230	658	2193
231	660	2186
232	662	2179
233	663	2172
234	664	2164
235	666	2158
236	668	2151
237	671	2149
238	674	2148
239	677	2144
240	678	2138
241	680	2130
242	681	2123
243	683	2117
244	685	2111
245	687	2107
246	690	2105
247	692	2099
248	694	2093
249	695	2087
250	697	2081
251	699	2076
252	704	2079
253	706	2075
254	708	2068
255	710	2063
256	712	2058
257	716	2059
258	717	2053
259	719	2048
260	721	2041
261	722	2034
262	724	2029
263	725	2022
264	729	2024
265	733	2024
266	735	2020
267	738	2017
268	743	2020
269	746	2018
270	748	2013
271	750	2008
272	752	2002
273	753	1996
274	756	1993
275	759	1991
276	761	1986
277	763	1982
278	765	1977
279	767	1972
280	772	1977
281	776	1976
282	778	1972
283	780	1968
284	783	1965
285	787	1964
286	789	1962
287	791	1957
288	793	1951
289	794	1946
290	797	1943
291	800	1941
292	802	1937
293	804	1931
294	806	1926
295	810	1927
296	815	1931
297	818	1928
298	820	1924
299	822	1919
300	825	1916
301	828	1914
302	830	1911
303	832	1906
304	834	1901
305	836	1896
306	840	1896
307	844	1897
308	847	1894
309	852	1897
310	856	1898
311	859	1894
312	860	1889
313	862	1883
314	865	1881
315	869	1881
316	872	1879
317	874	1874
318	875	1869
319	880	1870
320	885	1873
321	887	1868
322	888	1863
323	890	1858
324	894	1857
325	898	1856
326	900	1854
327	902	1849
328	904	1845
329	907	1841
330	909	1838
331	911	1834
332	913	1829
333	916	1826
334	917	1822
335	919	1817
336	923	1816
337	925	1813
338	928	1809
339	929	1804
340	931	1799
341	932	1794
342	936	1794
343	940	1792
344	942	1789
345	946	1788
346	949	1787
347	953	1786
348	955	1782
349	957	1777
350	959	1774
351	962	1771
352	965	1768
353	968	1767
354	970	1762
355	971	1758
356	974	1755
357	976	1751
358	979	1749
359	982	1746
360	984	1742
361	986	1737
362	988	1733
363	989	1729
364	993	1728
365	996	1726
366	998	1721
367	999	1716
368	1001	1712
369	1003	1708
370	1006	1705
371	1008	1702
372	1010	1698
373	1012	1694
374	1015	1692
375	1016	1687
376	1019	1684
377	1023	1684
378	1026	1681
379	1028	1677
380	1030	1673
381	1039	1681
382	1042	1679
383	1044	1675
384	1046	1671
385	1061	1688
386	1065	1687
387	1071	1689
388	1073	1685
389	1076	1683
390	1083	1687
391	1087	1686
392	1089	1682
393	1090	1677
394	1094	1676
395	1097	1673
396	1099	1669
397	1100	1664
398	1102	1660
399	1103	1655
400	1105	1651
401	1107	1648
402	1110	1645
403	1113	1643
404	1116	1639
405	1118	1636
406	1121	1634
407	1127	1635
408	1129	1631
409	1131	1627
410	1132	1623
411	1138	1624
412	1141	1622
413	1144	1619
414	1146	1615
415	1148	1612
416	1155	1615
417	1159	1613
418	1162	1612
419	1167	1612
420	1169	1608
421	1171	1605
422	1173	1601
423	1182	1606
424	1184	1602
425	1186	1598
426	1187	1594
427	1192	1593
428	1195	1590
429	1197	1587
430	1200	1584
431	1202	1581
432	1211	1586
433	1214	1583
434	1217	1580
435	1228	1589
436	1231	1586
437	1234	1584
438	1241	1586
439	1243	1583
440	1245	1578
441	1248	1576
442	1252	1574
443	1255	1572
444	1257	1568
445	1259	1564
446	1261	1560
447	1264	1558
448	1267	1555
449	1270	1552
450	1271	1548
451	1276	1547
452	1279	1544
453	1282	1542
454	1284	1539
455	1287	1536
456	1290	1533
457	1294	1532
458	1297	1529
459	1299	1525
460	1301	1521
461	1303	1517
462	1306	1515
463	1312	1516
464	1316	1514
465	1318	1511
466	1321	1508
467	1326	1508
468	1329	1505
469	1331	1501
470	1332	1497
471	1336	1494
472	1339	1492
473	1343	1490
474	1345	1486
475	1347	1482
476	1348	1478
477	1351	1475
478	1353	1472
479	1356	1469
480	1357	1465
481	1359	1461
482	1361	1456
483	1364	1454
484	1372	1457
485	1373	1452
486	1375	1448
487	1376	1444
488	1379	1441
489	1385	1442
490	1388	1439
491	1390	1435
492	1391	1431
493	1394	1428
494	1396	1425
495	1399	1421
496	1400	1417
497	1402	1414
498	1404	1409
499	1406	1406
500	1413	1407
501	1416	1404
502	1417	1400
503	1419	1396
504	1421	1393
505	1428	1394
506	1429	1390
507	1431	1386
508	1432	1382
509	1434	1378
510	1437	1375
511	1440	1373
512	1442	1369
513	1444	1365
514	1446	1362
515	1448	1358
516	1450	1355
517	1454	1353
518	1456	1349
519	1458	1345
520	1459	1341
521	1460	1337
522	1462	1334
523	1467	1333
524	1470	1330
525	1471	1326
526	1473	1322
527	1475	1318
528	1476	1314
529	1479	1311
530	1481	1308
531	1483	1305
532	1485	1301
533	1486	1297
534	1488	1293
535	1490	1290
536	1492	1286
537	1495	1284
538	1497	1281
539	1499	1277
540	1501	1273
541	1503	1270
542	1504	1266
543	1506	1262
544	1510	1261
545	1512	1257
546	1513	1253
547	1514	1249
548	1516	1245
549	1518	1242
550	1537	1252
551	1540	1249
552	1541	1246
553	1543	1242
554	1544	1238
555	1545	1234
556	1546	1230
557	1548	1226
558	1549	1222
559	1553	1220
560	1555	1217
561	1556	1213
562	1557	1209
563	1559	1205
564	1560	1201
565	1562	1197
566	1563	1194
567	1564	1190
568	1567	1187
569	1568	1183
570	1569	1179
571	1571	1175
572	1572	1171
573	1573	1168
574	1575	1164
575	1576	1160
576	1578	1157
577	1581	1154
578	1583	1151
579	1584	1147
580	1585	1143
581	1586	1139
582	1587	1135
583	1589	1131
584	1590	1128
585	1591	1124
586	1593	1121
587	1595	1118
588	1597	1114
589	1598	1110
590	1599	1107
591	1600	1103
592	1602	1099
